Name,Rating,Date,Review
SUJONO UNESA TA. 2025,5 bintang,4 bulan lalu,"Tempat belajar yang real pembelajaran sepanjang hayat, dari sarjana magister doktor sya ada di Surabaya, Unusa Surabaya memang Kereen 💐🙏🏻🙏🏻🙏🏻 …"
Slamet Pras,5 bintang,2 bulan lalu,"Salah satu kampus negeri di kota Surabaya dengan jumlah mahasiswa yang banyak, termasuk jumlah kampus nya banyak. Semoga menjadi tempat untuk mencetak mahasiswa yang sukses dunia akhirat."
Sutrish CEPU,1 bintang,sebulan lalu,Minta tolong dong untuk Unesa Ketintang untuk update alamat maps nya...banyak orang  yang salah alamat dan masuk di kampus Tel-u .dari berbagai macam pengiriman  ataupun kegiatan di gedung serbagunanya Unesa sekian terimakasih
Ahmad Hadi Hanafi,5 bintang,5 bulan lalu,"Kampus nya maju, lingkungan nya tenang, kuliner nya banyak dan murah sesuai kantong mahasiswa.."
Mohammad Arya yulfa,5 bintang,sebulan lalu,Bagus kampus universitas negeri Surabaya luas dan parkiran luas sekali keluar universitas negeri Surabaya menunjukkan STNK kalo tidak punya STNK boleh pakai KTP
Sunarto Sabdo,5 bintang,4 bulan lalu,"Ada nggak ya, tmpat penampungan brg2 hilang....
mungkin STNK motor atau kunci spd motor yg hilang di kampus Unesa Lidah Wetan yg mungkin …"
Raka Vlog,5 bintang,seminggu lalu,"Bangunan kampus yang pertama sekali, namun sekarang bangunan sudah megah semuanya dan modern"
Idham Kholid,1 bintang,2 bulan lalu,"Mintak tolong dong alamat kampus UNESA.nya di update lagi. Kok setiap pengiriman makanan apa barang  kok titiknya di kampus Telkom. Kurir"" Pada kesasar ke kampus Telkom iya padahal alamat map.nya di kampus UNESA.. Tks"
FENDY R,1 bintang,sebulan lalu,"Minta tolong untuk pihak Unesa diperbaiki lagi untuk titik maps nya ,, banyak yg nyasar ke kampus Telkom"
Fendy Jarwoko,1 bintang,sebulan lalu,"Minta tolong diperbaharui untuk titik maps nya.
Tidak sesuai
banyak yg nyasar dikampus sebelah."
Yoga Alfian,5 bintang,3 tahun lalu,"Meskipun letaknya terpisah jauh sama Unesa LiWet(lidah wetan), tapi kampusnya tetep sama gedenya dengan yg di LiWet. Muter² kampus ketintang ini gatau mana pintu keluar sebelah selatan, timur dan barat saking gedenya wkwk. Luas bangett, lengkap ada lapangan voli, foodcurt, masjid, pusat bahasa, perpustakaan dll"
Fajar Imanuel s,5 bintang,3 minggu lalu,"Haloooo aku fajar Imanuel dari fakultas vokasi d4 Teknologi rekayasa otomotif, salam kenal 😁 …"
